title_num,title_opt,url
1,검은풍경,http://gmoma.ggcf.kr/archives/artwork/%EA%B2%80%EC%9D%80%ED%92%8D%EA%B2%BD
2,여자의-집-ll-이순자의-집1-제사풍경,http://gmoma.ggcf.kr/archives/artwork/%EC%97%AC%EC%9E%90%EC%9D%98-%EC%A7%91-ll-%EC%9D%B4%EC%88%9C%EC%9E%90%EC%9D%98-%EC%A7%911-%EC%A0%9C%EC%82%AC%ED%92%8D%EA%B2%BD
3,지워지다-두더지,http://gmoma.ggcf.kr/archives/artwork/%EC%A7%80%EC%9B%8C%EC%A7%80%EB%8B%A4-%EB%91%90%EB%8D%94%EC%A7%80
4,용마산에서-본-한강전경,http://gmoma.ggcf.kr/archives/artwork/%EC%9A%A9%EB%A7%88%EC%82%B0%EC%97%90%EC%84%9C-%EB%B3%B8-%ED%95%9C%EA%B0%95%EC%A0%84%EA%B2%BD
5,헤이리-여신-우마드,http://gmoma.ggcf.kr/archives/artwork/%ED%97%A4%EC%9D%B4%EB%A6%AC-%EC%97%AC%EC%8B%A0-%EC%9A%B0%EB%A7%88%EB%93%9C
6,새가-된-소녀,http://gmoma.ggcf.kr/archives/artwork/%EC%83%88%EA%B0%80-%EB%90%9C-%EC%86%8C%EB%85%80
7,still-life-두개의-문,http://gmoma.ggcf.kr/archives/artwork/still-life-%EB%91%90%EA%B0%9C%EC%9D%98-%EB%AC%B8
8,실락원1,http://gmoma.ggcf.kr/archives/artwork/%EC%8B%A4%EB%9D%BD%EC%9B%901
9,tomorrow-강아지-마을,http://gmoma.ggcf.kr/archives/artwork/tomorrow-%EA%B0%95%EC%95%84%EC%A7%80-%EB%A7%88%EC%9D%84
10,비위치드-5,http://gmoma.ggcf.kr/archives/artwork/%EB%B9%84%EC%9C%84%EC%B9%98%EB%93%9C-5
11,구두신은-새,http://gmoma.ggcf.kr/archives/artwork/%EA%B5%AC%EB%91%90%EC%8B%A0%EC%9D%80-%EC%83%88
12,벽제의-밤-개,http://gmoma.ggcf.kr/archives/artwork/%EB%B2%BD%EC%A0%9C%EC%9D%98-%EB%B0%A4-%EA%B0%9C
13,정토,http://gmoma.ggcf.kr/archives/artwork/%EC%A0%95%ED%86%A0
14,홍익인간,http://gmoma.ggcf.kr/archives/artwork/%ED%99%8D%EC%9D%B5%EC%9D%B8%EA%B0%84
15,기억,http://gmoma.ggcf.kr/archives/artwork/%EA%B8%B0%EC%96%B5
16,still-life-돌구름,http://gmoma.ggcf.kr/archives/artwork/still-life-%EB%8F%8C%EA%B5%AC%EB%A6%84
17,무제-4-hidden,http://gmoma.ggcf.kr/archives/artwork/%EB%AC%B4%EC%A0%9C-4-hidden
18,종이부인,http://gmoma.ggcf.kr/archives/artwork/%EC%A2%85%EC%9D%B4%EB%B6%80%EC%9D%B8
19,저-너머,http://gmoma.ggcf.kr/archives/artwork/%EC%A0%80-%EB%84%88%EB%A8%B8
20,Slow-same-21015,http://gmoma.ggcf.kr/archives/artwork/slow-same-21015
21,정원,http://gmoma.ggcf.kr/archives/artwork/%EC%A0%95%EC%9B%90
22,푸른-운동회-Ⅵ가라사대,http://gmoma.ggcf.kr/archives/artwork/%ED%91%B8%EB%A5%B8-%EC%9A%B4%EB%8F%99%ED%9A%8C-%E2%85%A5%EA%B0%80%EB%9D%BC%EC%82%AC%EB%8C%80
23,팝콘시리즈,http://gmoma.ggcf.kr/archives/artwork/%ED%8C%9D%EC%BD%98%EC%8B%9C%EB%A6%AC%EC%A6%88
24,寂寥-물위에-無爲,http://gmoma.ggcf.kr/archives/artwork/%E5%AF%82%E5%AF%A5-%EB%AC%BC%EC%9C%84%EC%97%90-%E7%84%A1%E7%88%B2
